Modulation,EstimationError,SNR_dB,BER,ErrorCount,BitTotal
GCCK-QPSK-4R,\\sigma_e^2=-5 dB,0,0.3125,10,32
GCCK-QPSK-4R,\\sigma_e^2=-5 dB,1,0.15625,5,32
GCCK-QPSK-4R,\\sigma_e^2=-5 dB,2,0.34375,11,32
GCCK-QPSK-4R,\\sigma_e^2=-10 dB,0,0.125,4,32
GCCK-QPSK-4R,\\sigma_e^2=-10 dB,1,0.28125,9,32
GCCK-QPSK-4R,\\sigma_e^2=-10 dB,2,0.21875,7,32
GCCK-QPSK-4R,\\sigma_e^2=-15 dB,0,0.21875,7,32
GCCK-QPSK-4R,\\sigma_e^2=-15 dB,1,0.21875,7,32
GCCK-QPSK-4R,\\sigma_e^2=-15 dB,2,0.34375,11,32
GCCK-QPSK-4R,\\sigma_e^2=-20 dB,0,0.34375,11,32
GCCK-QPSK-4R,\\sigma_e^2=-20 dB,1,0.125,4,32
GCCK-QPSK-4R,\\sigma_e^2=-20 dB,2,0.15625,5,32
GCCK-QPSK-4R,CIR已知,0,0.21875,7,32
GCCK-QPSK-4R,CIR已知,1,0.21875,7,32
GCCK-QPSK-4R,CIR已知,2,0.1875,6,32
GCCK-QPSK-8R,\\sigma_e^2=-5 dB,0,0.328125,21,64
GCCK-QPSK-8R,\\sigma_e^2=-5 dB,1,0.28125,18,64
GCCK-QPSK-8R,\\sigma_e^2=-5 dB,2,0.234375,15,64
GCCK-QPSK-8R,\\sigma_e^2=-10 dB,0,0.234375,15,64
GCCK-QPSK-8R,\\sigma_e^2=-10 dB,1,0.421875,27,64
GCCK-QPSK-8R,\\sigma_e^2=-10 dB,2,0.25,16,64
GCCK-QPSK-8R,\\sigma_e^2=-15 dB,0,0.21875,14,64
GCCK-QPSK-8R,\\sigma_e^2=-15 dB,1,0.171875,11,64
GCCK-QPSK-8R,\\sigma_e^2=-15 dB,2,0.28125,18,64
GCCK-QPSK-8R,\\sigma_e^2=-20 dB,0,0.296875,19,64
GCCK-QPSK-8R,\\sigma_e^2=-20 dB,1,0.109375,7,64
GCCK-QPSK-8R,\\sigma_e^2=-20 dB,2,0.078125,5,64
GCCK-QPSK-8R,CIR已知,0,0.1875,12,64
GCCK-QPSK-8R,CIR已知,1,0.0625,4,64
GCCK-QPSK-8R,CIR已知,2,0.0625,4,64
GCCK-8PSK-12R,\\sigma_e^2=-5 dB,0,0.458333333333333,22,48
GCCK-8PSK-12R,\\sigma_e^2=-5 dB,1,0.166666666666667,8,48
GCCK-8PSK-12R,\\sigma_e^2=-5 dB,2,0.4375,21,48
GCCK-8PSK-12R,\\sigma_e^2=-10 dB,0,0.3125,15,48
GCCK-8PSK-12R,\\sigma_e^2=-10 dB,1,0.395833333333333,19,48
GCCK-8PSK-12R,\\sigma_e^2=-10 dB,2,0.333333333333333,16,48
GCCK-8PSK-12R,\\sigma_e^2=-15 dB,0,0.5,24,48
GCCK-8PSK-12R,\\sigma_e^2=-15 dB,1,0.375,18,48
GCCK-8PSK-12R,\\sigma_e^2=-15 dB,2,0.3125,15,48
GCCK-8PSK-12R,\\sigma_e^2=-20 dB,0,0.104166666666667,5,48
GCCK-8PSK-12R,\\sigma_e^2=-20 dB,1,0.208333333333333,10,48
GCCK-8PSK-12R,\\sigma_e^2=-20 dB,2,0.270833333333333,13,48
GCCK-8PSK-12R,CIR已知,0,0.333333333333333,16,48
GCCK-8PSK-12R,CIR已知,1,0.291666666666667,14,48
GCCK-8PSK-12R,CIR已知,2,0.166666666666667,8,48
